table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Leavenworth County, Kansas","5,538","3,475","8,940","5,465","2,111","1,024","1,087",261,301,940,639,-41,17,-58
".Lincoln County, Kansas",-279,-66,273,339,-216,9,-225,-36,-15,21,36,-22,0,-22
".Linn County, Kansas",47,-147,905,"1,052",194,2,192,-68,-31,90,121,-36,0,-36
".Logan County, Kansas",35,43,357,314,-6,8,-14,-18,22,41,19,-40,0,-40
".Lyon County, Kansas",-497,"1,200","3,804","2,604","-1,729",742,"-2,471",-105,113,389,276,-218,47,-265
".McPherson County, Kansas",-644,-404,"3,016","3,420",-236,66,-302,14,-31,305,336,47,0,47
".Marion County, Kansas",-776,-446,"1,055","1,501",-331,64,-395,-39,-35,107,142,-5,5,-10
".Marshall County, Kansas",-410,-34,"1,111","1,145",-371,25,-396,-8,18,117,99,-26,3,-29
".Meade County, Kansas",-542,61,493,432,-615,68,-683,-65,4,38,34,-71,7,-78
".Miami County, Kansas","1,456",766,"3,403","2,637",690,60,630,500,96,390,294,404,12,392
".Mitchell County, Kansas",-394,-117,709,826,-278,43,-321,-131,-30,72,102,-101,2,-103
".Montgomery County, Kansas","-3,639",-182,"3,828","4,010","-3,488",564,"-4,052",-262,-34,322,356,-229,61,-290
".Morris County, Kansas",-303,-100,592,692,-204,47,-251,63,5,75,70,58,8,50
".Morton County, Kansas",-646,26,338,312,-679,5,-684,-106,12,35,23,-118,-2,-116
".Nemaha County, Kansas",53,170,"1,320","1,150",-108,26,-134,106,68,152,84,41,5,36
".Neosho County, Kansas",-504,100,"1,921","1,821",-602,261,-863,-18,11,182,171,-29,38,-67
".Ness County, Kansas",-357,-144,268,412,-210,60,-270,-46,-22,14,36,-23,7,-30
".Norton County, Kansas",-308,-79,494,573,-230,5,-235,-58,-11,51,62,-48,1,-49
".Osage County, Kansas",-345,-232,"1,557","1,789",-108,25,-133,11,-39,170,209,51,3,48
".Osborne County, Kansas",-440,-135,400,535,-303,26,-329,-38,5,41,36,-44,1,-45
".Ottawa County, Kansas",-387,-135,505,640,-253,13,-266,-48,-18,39,57,-31,1,-32
".Pawnee County, Kansas",-557,-92,639,731,-464,-14,-450,-159,-5,76,81,-156,-1,-155
".Phillips County, Kansas",-406,-124,538,662,-282,10,-292,-42,-15,49,64,-27,0,-27
".Pottawatomie County, Kansas","2,775","1,726","3,335","1,609","1,062",95,967,174,152,347,195,23,6,17
".Pratt County, Kansas",-489,125,"1,177","1,052",-613,50,-663,-176,8,95,87,-185,4,-189
".Rawlins County, Kansas",11,-75,261,336,90,41,49,28,13,33,20,17,7,10
".Reno County, Kansas","-2,513",-250,"6,619","6,869","-2,229",229,"-2,458",-333,-29,670,699,-302,38,-340
".Republic County, Kansas",-344,-344,456,800,3,36,-33,-16,-2,59,61,-13,5,-18
".Rice County, Kansas",-545,-30,"1,080","1,110",-512,87,-599,54,9,103,94,47,7,40
".Riley County, Kansas","3,102","6,187","9,366","3,179","-3,361","6,213","-9,574",-480,494,854,360,-982,416,"-1,398"
".Rooks County, Kansas",-261,-46,547,593,-214,13,-227,-75,-21,49,70,-55,0,-55
".Rush County, Kansas",-271,-186,277,463,-85,3,-88,-20,1,28,27,-22,0,-22
".Russell County, Kansas",-111,-74,754,828,-33,-45,12,-46,-24,71,95,-22,-7,-15
".Saline County, Kansas","-1,380","1,827","6,780","4,953","-3,191",178,"-3,369",-163,182,682,500,-344,2,-346
".Scott County, Kansas",-113,73,565,492,-184,18,-202,-86,-1,58,59,-85,-2,-83
".Sedgwick County, Kansas","17,686","28,293","68,226","39,933","-10,369","8,377","-18,746","2,558","2,194","6,705","4,511",382,622,-240
".Seward County, Kansas","-1,522","2,838","4,026","1,188","-4,402",958,"-5,360",-474,293,403,110,-772,106,-878
".Shawnee County, Kansas","-1,068","4,455","21,076","16,621","-5,449","1,593","-7,042",-415,202,"2,002","1,800",-611,132,-743
".Sheridan County, Kansas",-23,-10,259,269,-11,12,-23,-1,10,31,21,-12,2,-14
".Sherman County, Kansas",-93,67,715,648,-161,-16,-145,0,-2,72,74,4,-1,5
".Smith County, Kansas",-270,-202,338,540,-68,0,-68,-7,2,41,39,-10,0,-10
".Stafford County, Kansas",-283,-65,454,519,-218,0,-218,-6,2,51,49,-9,0,-9
".Stanton County, Kansas",-230,95,274,179,-330,65,-395,-19,9,29,20,-30,12,-42
".Stevens County, Kansas",-241,292,709,417,-543,198,-741,-51,30,62,32,-83,23,-106
".Sumner County, Kansas","-1,301",70,"2,479","2,409","-1,377",94,"-1,471",-183,-3,249,252,-180,9,-189
".Thomas County, Kansas",-125,381,"1,052",671,-513,74,-587,67,57,115,58,10,11,-1
".Trego County, Kansas",-203,-140,275,415,-62,10,-72,6,-22,19,41,28,2,26
".Wabaunsee County, Kansas",-124,175,753,578,-301,24,-325,19,23,74,51,-5,2,-7
".Wallace County, Kansas",33,16,172,156,15,1,14,29,8,17,9,21,0,21
".Washington County, Kansas",-388,-13,650,663,-379,29,-408,-44,-13,72,85,-31,3,-34
".Wichita County, Kansas",-115,37,252,215,-153,8,-161,7,12,28,16,-7,0,-7
".Wilson County, Kansas",-881,-84,"1,038","1,122",-798,8,-806,-141,-3,107,110,-140,1,-141
".Woodson County, Kansas",-171,-134,312,446,-40,0,-40,-46,-5,35,40,-40,0,-40
".Wyandotte County, Kansas","7,906","11,989","24,708","12,719","-3,972","5,392","-9,364",108,"1,054","2,477","1,423",-945,500,"-1,445"
".Adair County, Kentucky",543,74,"1,880","1,806",460,38,422,3,-32,184,216,37,-1,38
".Allen County, Kentucky","1,357",228,"2,290","2,062","1,141",13,"1,128",193,-3,239,242,196,1,195
".Anderson County, Kentucky","1,285",370,"2,355","1,985",930,67,863,106,41,252,211,65,6,59
".Ballard County, Kentucky",-358,-209,752,961,-146,13,-159,-104,-22,76,98,-82,0,-82
".Barren County, Kentucky","2,088",559,"5,101","4,542","1,555",200,"1,355",134,38,557,519,98,0,98
".Bath County, Kentucky",913,265,"1,586","1,321",650,3,647,56,33,194,161,24,-2,26
".Bell County, Kentucky","-2,659",-402,"3,168","3,570","-2,268",23,"-2,291",-455,-63,316,379,-393,5,-398
".Boone County, Kentucky","14,771","8,070","15,657","7,587","6,779","1,684","5,095","1,680",741,"1,680",939,943,0,943
".Bourbon County, Kentucky",-220,54,"2,053","1,999",-260,139,-399,-328,-27,208,235,-302,-3,-299
".Boyd County, Kentucky","-2,816",-341,"5,273","5,614","-2,460",-52,"-2,408",-574,-104,493,597,-471,-11,-460
".Boyle County, Kentucky","1,617",-25,"2,891","2,916","1,614",121,"1,493",-22,-7,310,317,-16,-2,-14
".Bracken County, Kentucky",-183,76,940,864,-256,29,-285,25,-3,97,100,30,2,28
".Breathitt County, Kentucky","-1,246",-248,"1,560","1,808","-1,001",17,"-1,018",-157,-44,161,205,-113,0,-113
".Breckinridge County, Kentucky",424,-38,"2,099","2,137",467,38,429,168,16,230,214,152,9,143
".Bullitt County, Kentucky","7,368","1,899","7,243","5,344","5,462",-14,"5,476",667,124,777,653,545,-8,553
".Butler County, Kentucky",182,50,"1,423","1,373",139,56,83,136,11,154,143,126,0,126
".Caldwell County, Kentucky",-242,-156,"1,362","1,518",-76,-7,-69,31,-25,139,164,57,-1,58
".Calloway County, Kentucky","1,811",-85,"3,545","3,630","1,896","1,131",765,37,-48,359,407,85,14,71
".Campbell County, Kentucky","3,246","2,571","10,383","7,812",718,825,-107,120,254,"1,141",887,-131,-1,-130
".Carlisle County, Kentucky",-337,-24,586,610,-311,12,-323,21,5,53,48,17,0,17
".Carroll County, Kentucky",-176,246,"1,434","1,188",-433,62,-495,-81,16,141,125,-98,0,-98
".Carter County, Kentucky",-924,359,"3,256","2,897","-1,268",61,"-1,329",-243,-26,310,336,-218,3,-221
".Casey County, Kentucky",199,35,"1,800","1,765",176,-23,199,233,-17,185,202,252,-2,254
".Christian County, Kentucky","-3,479","8,087","13,630","5,543","-11,638","2,051","-13,689",-251,839,"1,466",627,"-1,088",-62,"-1,026"
".Clark County, Kentucky",660,166,"3,943","3,777",512,-12,524,83,12,426,414,72,-10,82
".Clay County, Kentucky","-1,828",74,"2,529","2,455","-1,923",39,"-1,962",-187,-6,239,245,-181,-3,-178
".Clinton County, Kentucky",-49,-137,"1,070","1,207",93,81,12,66,12,121,109,53,-2,55
".Crittenden County, Kentucky",-509,-248,912,"1,160",-250,-8,-242,-90,-20,88,108,-70,-2,-68
".Cumberland County, Kentucky",-235,-212,705,917,-19,22,-41,-79,-37,67,104,-41,0,-41
".Daviess County, Kentucky","4,870","2,815","12,302","9,487","2,147","1,078","1,069",628,258,"1,302","1,044",374,42,332
".Edmonson County, Kentucky",-27,-262,"1,015","1,277",238,-1,239,-99,-34,112,146,-64,-5,-59
".Elliott County, Kentucky",-333,-46,632,678,-292,2,-294,18,-2,68,70,20,0,20
".Estill County, Kentucky",-573,-372,"1,409","1,781",-196,4,-200,-44,-48,139,187,5,1,4
".Fayette County, Kentucky","27,282","15,884","36,974","21,090","11,525","10,446","1,079",726,"1,436","3,841","2,405",-701,242,-943
".Fleming County, Kentucky",235,213,"1,809","1,596",32,-8,40,96,38,199,161,59,0,59
".Floyd County, Kentucky","-3,861",-415,"4,427","4,842","-3,557",66,"-3,623",-307,-106,416,522,-200,0,-200
".Franklin County, Kentucky","1,723",515,"5,414","4,899","1,250",545,705,190,66,605,539,125,28,97
".Fulton County, Kentucky",-844,-249,676,925,-606,2,-608,-97,-36,54,90,-62,0,-62
".Gallatin County, Kentucky",283,150,"1,061",911,133,65,68,103,28,112,84,75,0,75
".Garrard County, Kentucky",761,153,"1,730","1,577",614,5,609,147,7,192,185,142,-2,144
".Grant County, Kentucky",414,"1,235","3,374","2,139",-824,-92,-732,4,113,363,250,-110,-14,-96
".Graves County, Kentucky",115,525,"4,645","4,120",-394,442,-836,-53,72,492,420,-125,19,-144
".Grayson County, Kentucky",678,17,"3,018","3,001",678,22,656,134,-16,300,316,151,-1,152
".Green County, Kentucky",-314,-238,"1,048","1,286",-74,21,-95,-57,-30,107,137,-26,0,-26
".Greenup County, Kentucky","-1,808",-750,"3,514","4,264","-1,037",-27,"-1,010",-234,-119,352,471,-115,-3,-112
".Hancock County, Kentucky",157,260,"1,024",764,-99,-5,-94,-16,29,106,77,-47,0,-47
".Hardin County, Kentucky","5,421","6,006","14,248","8,242",-721,"1,840","-2,561",679,471,"1,443",972,212,-59,271
".Harlan County, Kentucky","-3,268",-543,"3,336","3,879","-2,746",21,"-2,767",-299,-102,298,400,-197,0,-197
".Harrison County, Kentucky",36,-46,"2,014","2,060",92,75,17,106,16,234,218,92,-2,94
".Hart County, Kentucky",841,445,"2,391","1,946",409,42,367,133,85,276,191,47,0,47
".Henderson County, Kentucky","-1,036",406,"5,053","4,647","-1,410",-7,"-1,403",-302,1,521,520,-302,-5,-297
".Henry County, Kentucky",713,46,"1,654","1,608",674,43,631,65,15,181,166,51,0,51
".Hickman County, Kentucky",-523,-212,370,582,-311,-2,-309,-51,-28,35,63,-24,0,-24
".Hopkins County, Kentucky","-2,232",-527,"4,970","5,497","-1,687",189,"-1,876",-338,-20,525,545,-318,7,-325
".Jackson County, Kentucky",-161,-30,"1,502","1,532",-130,-5,-125,-74,-14,154,168,-61,-1,-60
".Jefferson County, Kentucky","25,682","21,104","91,883","70,779","5,286","18,109","-12,823","-1,344","1,859","9,603","7,744","-3,170",499,"-3,669"
".Jessamine County, Kentucky","5,535","2,081","6,113","4,032","3,461",808,"2,653",358,199,629,430,160,35,125
".Johnson County, Kentucky","-1,171",-208,"2,592","2,800",-953,-20,-933,-203,-59,253,312,-142,-4,-138
".Kenton County, Kentucky","7,270","7,880","21,327","13,447",-476,879,"-1,355",706,735,"2,236","1,501",-23,-25,2
".Knott County, Kentucky","-1,558",-342,"1,564","1,906","-1,219",3,"-1,222",-270,-63,142,205,-207,-2,-205
".Knox County, Kentucky",-743,33,"3,707","3,674",-765,75,-840,-155,-34,385,419,-120,-3,-117
".Larue County, Kentucky",217,-65,"1,468","1,533",289,-7,296,99,17,174,157,83,-3,86
".Laurel County, Kentucky","1,964","1,219","6,807","5,588",799,66,733,153,51,724,673,106,-9,115
".Lawrence County, Kentucky",-542,-74,"1,855","1,929",-457,82,-539,-266,-51,174,225,-214,-4,-210
".Lee County, Kentucky",-484,-235,682,917,-310,4,-314,351,-26,72,98,373,0,373
".Leslie County, Kentucky","-1,433",-305,"1,186","1,491","-1,136",-14,"-1,122",-274,-68,95,163,-207,-1,-206
".Letcher County, Kentucky","-2,958",-506,"2,513","3,019","-2,478",24,"-2,502",-260,-77,233,310,-184,1,-185
".Lewis County, Kentucky",-608,-76,"1,456","1,532",-528,-9,-519,7,0,164,164,9,-1,10
".Lincoln County, Kentucky",-187,386,"3,037","2,651",-564,-9,-555,-63,41,329,288,-105,-1,-104
".Livingston County, Kentucky",-325,-265,924,"1,189",-57,10,-67,-50,-28,94,122,-21,0,-21
".Logan County, Kentucky",270,374,"3,214","2,840",-94,-9,-85,119,53,360,307,67,-3,70
".Lyon County, Kentucky",-109,-552,492,"1,044",438,-9,447,39,-77,45,122,117,-3,120
".McCracken County, Kentucky",-121,-247,"7,177","7,424",193,23,170,111,-89,734,823,204,-9,213
".McCreary County, Kentucky","-1,075",112,"2,039","1,927","-1,193",-17,"-1,176",-59,-1,191,192,-58,-4,-54
".McLean County, Kentucky",-333,-107,"1,012","1,119",-224,18,-242,-51,-5,108,113,-44,0,-44
".Madison County, Kentucky","10,074","2,439","9,227","6,788","7,561",649,"6,912",880,217,984,767,663,2,661
".Magoffin County, Kentucky","-1,172",-59,"1,391","1,450","-1,119",15,"-1,134",-162,-45,127,172,-120,1,-121
".Marion County, Kentucky",-562,300,"2,230","1,930",-896,78,-974,-53,39,236,197,-92,-4,-88
".Marshall County, Kentucky",-348,"-1,009","2,907","3,916",681,57,624,-102,-139,296,435,38,1,37
".Martin County, Kentucky","-1,734",-137,"1,161","1,298","-1,612",-7,"-1,605",-130,-49,99,148,-82,-1,-81
".Mason County, Kentucky",-420,-4,"1,942","1,946",-414,83,-497,-10,18,208,190,-26,11,-37
".Meade County, Kentucky",-41,263,"2,481","2,218",-352,324,-676,-51,18,271,253,-68,-14,-54
".Menifee County, Kentucky",180,-74,652,726,251,-5,256,52,-30,61,91,82,0,82
".Mercer County, Kentucky",622,-131,"2,309","2,440",768,175,593,231,-50,248,298,282,6,276
".Metcalfe County, Kentucky",-45,18,"1,187","1,169",-61,0,-61,1,-15,113,128,16,-1,17
".Monroe County, Kentucky",-313,-199,"1,213","1,412",-112,37,-149,-82,2,144,142,-84,-2,-82
".Montgomery County, Kentucky","1,650",870,"3,478","2,608",796,-54,850,48,59,350,291,-9,-10,1
".Morgan County, Kentucky",-612,-178,"1,175","1,353",-457,45,-502,-63,-53,105,158,-9,1,-10
".Muhlenberg County, Kentucky",-877,-318,"3,199","3,517",-550,-13,-537,-189,-54,340,394,-135,-2,-133
".Nelson County, Kentucky","2,792","1,701","5,337","3,636","1,114",-39,"1,153",420,133,552,419,287,-7,294
".Nicholas County, Kentucky",140,-81,826,907,224,2,222,74,-12,84,96,86,0,86
".Ohio County, Kentucky",140,119,"2,710","2,591",44,-5,49,-70,8,279,271,-76,-7,-69
".Oldham County, Kentucky","6,443","1,475","5,088","3,613","4,975",251,"4,724",287,192,606,414,99,-1,100
".Owen County, Kentucky",64,-51,973,"1,024",117,1,116,20,0,109,109,20,0,20
".Owsley County, Kentucky",-340,-197,498,695,-150,-3,-147,-59,-5,60,65,-55,0,-55
".Pendleton County, Kentucky",-284,179,"1,588","1,409",-460,28,-488,2,15,179,164,-12,3,-15
".Perry County, Kentucky","-2,939",-355,"3,523","3,878","-2,608",99,"-2,707",-450,-88,321,409,-363,5,-368
".Pike County, Kentucky","-7,153","-1,228","6,279","7,507","-5,973",36,"-6,009",-616,-225,583,808,-391,-1,-390
".Powell County, Kentucky",-254,-72,"1,469","1,541",-182,18,-200,-12,-7,147,154,-5,2,-7
".Pulaski County, Kentucky","1,918",-475,"6,922","7,397","2,449",225,"2,224",395,-36,755,791,432,-2,434
".Robertson County, Kentucky",-174,-80,214,294,-97,0,-97,-22,0,22,22,-22,0,-22
".Rockcastle County, Kentucky",-361,-219,"1,635","1,854",-138,9,-147,-128,-79,164,243,-48,0,-48
".Rowan County, Kentucky","1,124",422,"2,541","2,119",676,50,626,-43,53,268,215,-96,-5,-91
".Russell County, Kentucky",358,-191,"1,986","2,177",561,139,422,133,-21,203,224,156,7,149
".Scott County, Kentucky","9,908","2,859","6,190","3,331","6,981",339,"6,642","1,036",265,702,437,770,-6,776
".Shelby County, Kentucky","7,053","2,146","5,437","3,291","4,888",855,"4,033",965,161,550,389,801,25,776
".Simpson County, Kentucky","1,243",287,"2,085","1,798",958,67,891,169,48,228,180,121,3,118
".Spencer County, Kentucky","2,209",525,"1,780","1,255","1,684",53,"1,631",330,58,205,147,272,10,262
".Taylor County, Kentucky","1,258",344,"3,053","2,709",912,310,602,255,22,324,302,234,7,227
".Todd County, Kentucky",-169,407,"1,638","1,231",-580,84,-664,-12,44,170,126,-57,5,-62
".Trigg County, Kentucky",324,-189,"1,380","1,569",515,6,509,-7,-10,153,163,3,-1,4
".Trimble County, Kentucky",-338,21,866,845,-360,-5,-355,3,-12,82,94,15,-1,16
".Union County, Kentucky",-626,-49,"1,512","1,561",-613,-31,-582,-90,-9,151,160,-81,-9,-72
".Warren County, Kentucky","19,115","5,933","14,838","8,905","13,144","4,586","8,558","2,146",723,"1,723","1,000","1,419",111,"1,308"
".Washington County, Kentucky",382,25,"1,297","1,272",353,123,230,72,14,146,132,58,5,53
".Wayne County, Kentucky",-480,28,"2,144","2,116",-498,19,-517,-97,8,216,208,-106,1,-107
".Webster County, Kentucky",-679,-50,"1,516","1,566",-629,70,-699,-109,36,178,142,-143,2,-145
".Whitley County, Kentucky",631,673,"5,113","4,440",-30,73,-103,163,55,528,473,109,-6,115
".Wolfe County, Kentucky",-198,-97,844,941,-108,-20,-88,-42,-15,86,101,-28,-4,-24
".Woodford County, Kentucky","1,788",501,"2,621","2,120","1,303",128,"1,175",243,48,280,232,196,1,195
".Acadia Parish, Louisiana",258,"2,099","8,105","6,006","-1,798",276,"-2,074",-169,126,816,690,-295,17,-312
".Allen Parish, Louisiana",-120,615,"2,993","2,378",-723,45,-768,60,73,315,242,-12,-3,-9
".Ascension Parish, Louisiana","19,389","8,640","15,464","6,824","10,651",637,"10,014","1,746",756,"1,683",927,993,38,955
".Assumption Parish, Louisiana","-1,525",308,"2,380","2,072","-1,839",78,"-1,917",-388,5,238,233,-395,-2,-393
".Avoyelles Parish, Louisiana","-1,927",551,"5,061","4,510","-2,467",143,"-2,610",-258,58,510,452,-315,5,-320
".Beauregard Parish, Louisiana","1,846","1,224","4,660","3,436",634,263,371,128,119,531,412,12,11,1
".Bienville Parish, Louisiana","-1,112",-317,"1,565","1,882",-794,5,-799,-102,-65,142,207,-36,3,-39
".Bossier Parish, Louisiana","10,003","6,794","16,194","9,400","3,157","1,505","1,652",17,451,"1,570","1,119",-436,41,-477
".Caddo Parish, Louisiana","-14,710","7,559","32,854","25,295","-22,361",964,"-23,325","-2,629",293,"3,032","2,739","-2,919",19,"-2,938"
".Calcasieu Parish, Louisiana","10,664","7,719","26,075","18,356","3,091","1,169","1,922",259,847,"2,897","2,050",-586,58,-644
".Caldwell Parish, Louisiana",-208,19,"1,164","1,145",-221,37,-258,-46,3,123,120,-47,-2,-45
".Cameron Parish, Louisiana",105,213,661,448,-115,-16,-99,-40,20,86,66,-61,-4,-57
".Catahoula Parish, Louisiana",-913,-107,"1,122","1,229",-803,122,-925,-112,-9,106,115,-103,11,-114
".Claiborne Parish, Louisiana","-1,525",-270,"1,490","1,760","-1,262",37,"-1,299",-225,-66,134,200,-160,0,-160
".Concordia Parish, Louisiana","-1,563",189,"2,435","2,246","-1,761",-30,"-1,731",-327,15,254,239,-343,-8,-335
".De Soto Parish, Louisiana",807,391,"3,125","2,734",434,-8,442,37,26,318,292,11,-3,14
".East Baton Rouge Parish, Louisiana",-466,"21,116","55,762","34,646","-21,466","7,021","-28,487","-1,999","1,837","5,739","3,902","-3,859",640,"-4,499"
".East Carroll Parish, Louisiana",-898,290,"1,012",722,"-1,199",-22,"-1,177",-133,16,82,66,-149,-3,-146
".East Feliciana Parish, Louisiana","-1,125",-293,"1,934","2,227",-828,-5,-823,-151,-37,196,233,-113,1,-114
".Evangeline Parish, Louisiana",-593,967,"4,427","3,460","-1,554",583,"-2,137",-101,56,447,391,-157,60,-217
".Franklin Parish, Louisiana",-752,144,"2,648","2,504",-888,-11,-877,-149,-5,272,277,-143,0,-143
".Grant Parish, Louisiana",80,349,"2,299","1,950",-253,59,-312,-47,47,239,192,-92,-1,-91
".Iberia Parish, Louisiana","-3,257","2,900","9,613","6,713","-6,160",608,"-6,768","-1,075",137,914,777,"-1,215",6,"-1,221"
".Iberville Parish, Louisiana",-893,642,"3,634","2,992","-1,525",16,"-1,541",-182,38,351,313,-219,-8,-211
".Jackson Parish, Louisiana",-528,-153,"1,607","1,760",-364,-20,-344,-168,-60,160,220,-107,-3,-104
".Jefferson Parish, Louisiana",-83,"14,998","53,378","38,380","-14,923","12,099","-27,022","-1,391","1,232","5,577","4,345","-2,613","1,033","-3,646"
".Jefferson Davis Parish, Louisiana",-224,431,"3,908","3,477",-640,41,-681,-169,-26,384,410,-143,6,-149
".Lafayette Parish, Louisiana","22,612","14,520","30,656","16,136","8,056","2,786","5,270","1,277","1,209","3,208","1,999",71,184,-113
".Lafourche Parish, Louisiana",972,"3,206","11,361","8,155","-2,183",942,"-3,125",-367,241,"1,148",907,-606,50,-656
".LaSalle Parish, Louisiana",2,86,"1,629","1,543",-72,87,-159,-9,2,175,173,-10,4,-14
".Lincoln Parish, Louisiana",2,"1,711","5,230","3,519","-1,716","1,202","-2,918",-370,99,516,417,-471,85,-556
".Livingston Parish, Louisiana","13,115","7,350","16,991","9,641","5,711",80,"5,631","1,395",618,"1,788","1,170",773,-7,780
".Madison Parish, Louisiana","-1,150",317,"1,545","1,228","-1,488",-2,"-1,486",-245,1,151,150,-247,0,-247
".Morehouse Parish, Louisiana","-3,105",-145,"3,309","3,454","-2,977",19,"-2,996",-450,-16,330,346,-435,-1,-434
".Natchitoches Parish, Louisiana","-1,411","1,096","4,785","3,689","-2,496",169,"-2,665",-458,70,468,398,-528,23,-551
".Orleans Parish, Louisiana","46,316","14,129","43,792","29,663","31,281","5,925","25,356",-860,759,"4,399","3,640","-1,600",441,"-2,041"
".Ouachita Parish, Louisiana",-455,"6,347","20,561","14,214","-6,709",658,"-7,367","-1,292",398,"2,046","1,648","-1,691",40,"-1,731"
".Plaquemines Parish, Louisiana",162,"1,040","2,706","1,666",-895,155,"-1,050",-188,75,270,195,-265,12,-277
